dataset_rows,lang,runs,runtime_mean_ms,runtime_median_ms,runtime_p95_ms,throughput_mean_rows_s,cold_start_rate,cost_per_million_usd
100.0,Java,300,207.36333333333334,204.0,401.60000000000036,731.491280626098,0.0,1.9280312338333336
100.0,Python,200,537.335,518.5,604.05,188.9794065059899,0.0,1.3194501555625002
1000.0,Java,300,632.21,304.0,1625.45,5310.942454823448,0.0,5.4684272035
1000.0,Python,200,1057.985,1097.0,1208.1499999999999,955.9705183398062,0.0,2.4041398249375003
5000.0,Java,300,10011.68,906.0,34812.3,11002.001157045577,0.01,83.630833528
5000.0,Python,200,4375.14,3827.5,8923.399999999996,1326.4060388649273,0.055,9.31489322975
10000.0,Java,300,18338.816666666666,1523.5,54464.05,11079.891466494766,0.02,153.02377786916668
10000.0,Python,200,12868.77,7299.0,27445.499999999996,1202.2570468057684,0.04,27.009991119875004
50000.0,Java,300,96897.47666666667,17269.5,287797.05,3310.498046775716,0.24,807.6805871801668
50000.0,Python,200,33836.86,8599.5,91577.55,4566.026549647756,0.0,282.17439728100004
